viaje_id,fecha_hora_inicio,fecha_hora_recepcion,unidad_id,estacion_origen_id,estacion_destino_id,lat_origen,lon_origen,tipo_servicio,pasajeros,ocupacion,fuente_registro,conductor_id
V0030,2026-09-03 11:48:00,2026-09-03 11:51:00,U06,E06,E01,19.332,-99.187,REGULAR,48,46,GPS_APP,C012
V0031,2026-09-03 12:00:00,2026-09-03 12:04:00,U07,E07,E02,19.445,-99.105,REGULAR,-3,57,VALIDADOR,C013
V0032,2026-09-03 12:12:00,2026-09-03 12:17:00,U08,E08,E03,19.5,-99.16,EXPRES,62,68,INTEGRACION,C014
V0033,,2026-09-03 12:30:00,U09,E01,E04,19.48,-99.12,REGULAR,69,79,GPS_APP,C015
V0034,2026-09-03 12:36:00,2026-09-03 12:43:00,U10,E02,E05,19.4325,-99.1332,Expres,18,90,VALIDADOR,C016
V0035,2026-09-03 12:48:00,2026-09-03 12:49:00,U11,E03,E06,19.41,-99.07,REGULAR,25,25,INTEGRACION,C017
V0036,2026-09-03 13:00:00,2026-09-03 13:02:00,U12,E04,E07,191.4,-99.15,EXPRES,32,36,GPS_APP,C018
V0037,2026-09-03 13:12:00,2026-09-03 13:15:00,U01,E05,E08,19.42,-99.21,REGULAR,39,47,,C001
V0038,2026/09/03 13:24:00,2026-09-03 13:28:00,U02,E06,E01,19.332,-99.187,REGULAR,46,58,INTEGRACION,C002
V0039,2026-09-03 13:36:00,2026-09-03 13:41:00,U03,E07,E02,19.445,-99.105,REGULAR,53,69,GPS_APP,C003
V0040,2026-09-03 13:48:00,2026-09-03 13:54:00,U04,E08,E03,19.5,-99.16,EXPRES,60,80,VALIDADOR,C004
V0041,2026-09-03 14:00:00,2026-09-03 14:25:00,U05,E01,E04,19.48,-99.12,REGULAR,67,91,INTEGRACION,C005
V0042,2026-09-31 14:12:00,2026-09-03 14:13:00,U06,E02,E05,19.4325,-99.1332,REGULAR,16,26,GPS_APP,C006
V0043,2026-09-03 14:24:00,2026-09-03 14:26:00,U07,E03,E06,19.41,-99.07,REGULAR,23,37,VALIDADOR,C007
V0044,2026-09-03 14:36:00,2026-09-03 14:39:00,U08,E04,E07,19.35,-99.15,EXPRES,30,48,INTEGRACION,C008
V0045,2026-09-03 14:48:00,2026-09-03 14:52:00,UX3,E05,E08,19.42,-99.21,REGULAR,37,59,GPS_APP,C009
V0046,2026-09-03 15:00:00,2026-09-03 15:05:00,U10,E06,E01,19.332,-99.187,REGULAR,44,70,VALIDADOR,C010
V0047,03-09-2026 15:12:00,2026-09-03 15:18:00,U11,E07,E02,19.445,-99.105,REGULAR,51,81,INTEGRACION,C011
V0048,2026-09-03 15:24:00,2026-09-03 15:31:00,U12,E08,E03,19.5,-99.16,EXPRES,96,92,GPS_APP,C012
V0049,2026-09-03 15:36:00,2026-09-03 15:37:00,U01,E01,E04,19.48,-99.12,REGULAR,65,27,VALIDADOR,C013
V0050,2026-09-03 15:48:00,2026-09-03 15:50:00,U02,E02,E05,19.4325,-99.1332,REGULAR,14,38,INTEGRACION,C014
V0051,2026-09-03 16:00:00,2026-09-03 16:03:00,U03,E03,E00,19.41,-99.07,REGULAR,21,49,GPS_APP,C015
V0052,2026-09-03 16:12:00,2026-09-03 16:16:00,U04,E04,E07,19.4325,-99.1332,EXPRES,28,60,VALIDADOR,C016
V0053,2026-09-03 16:24:00,2026-09-03 16:29:00,U05,E05,E08,19.42,-99.21,REGULAR,35,71,INTEGRACION,C017
V0054,,2026-09-03 16:42:00,U06,E06,E01,19.332,-99.187,REGULAR,42,82,GPS_APP,C018
V0055,2026-09-03 16:48:00,2026-09-03 16:55:00,U07,E07,E02,19.445,-99.105,REGULAR,49,93,VALIDADOR,C001
V0056,2026-09-03 17:00:00,2026-09-03 17:01:00,U08,E08,E03,19.5,-99.16,EXPRES,56,28,,C002
V0057,2026-09-03 17:12:00,2026-09-03 17:14:00,U09,E01,E04,19.48,-99.12,REGULAR,63,39,GPS_APP,C003
V0058,2026-09-03 17:24:00,2026-09-03 17:27:00,U10,E02,E05,19.4325,-99.1332,EXPRESS,12,50,VALIDADOR,C004
V0059,2026-09-03 17:36:00,2026-09-03 18:39:00,U11,E03,E06,19.41,-99.07,REGULAR,19,61,INTEGRACION,C005
V0060,2026-09-03 17:48:00,2026-09-03 17:53:00,U12,E04,E07,19.35,-99.15,EXPRES,26,72,GPS_APP,C006
